anon_polygon_id,date,s2_ndvi,s2_evi,s2_ndwi,landsat_ndvi,landsat_evi,landsat_ndwi,modis_ndvi,modis_evi,era5_temp_c,era5_precip_mm,year,primary_ndvi,doy,ndvi_climatology_mean,ndvi_climatology_std,ndvi_zscore,n_reference_years,status,crop_type
AOI-0002,2010-04-01,,,,,,,,,10.069213485717796,1.3933226819062838,2010,,91,,,,0,,озимая пшеница
AOI-0002,2010-04-02,,,,,,,,,10.46097335815432,3.528818488177876,2010,,92,,,,0,,озимая пшеница
AOI-0002,2010-04-03,,,,,,,,,10.259396489461269,0.9236041989879596,2010,,93,,,,0,,озимая пшеница
AOI-0002,2010-04-04,,,,,,,,,9.738343175252282,0.1414269208908081,2010,,94,,,,0,,озимая пшеница
AOI-0002,2010-04-05,,,,,,,,,9.505925750732445,0.173288583653175,2010,,95,,,,0,,озимая пшеница
AOI-0002,2010-04-06,,,,,,,,,10.264988835652671,0.0008523463179699,2010,,96,,,,0,,озимая пшеница
AOI-0002,2010-04-07,,,,,,,0.3335170883054893,0.1519758472553699,9.346235529581747,0.0021427867977763,2010,0.3335170883054893,97,0.4386287623436615,0.1694863194963885,-0.6201779255724057,15,Штатное развитие,озимая пшеница
AOI-0002,2010-04-08,,,,,,,,,6.866810099283896,3.547284912201576,2010,,98,,,,0,,озимая пшеница
AOI-0002,2010-04-09,,,,,,,,,7.327629343668661,0.7132371547413641,2010,,99,,,,0,,озимая пшеница
AOI-0002,2010-04-10,,,,,,,,,8.421286519368493,0.1231968402635175,2010,,100,,,,0,,озимая пшеница
AOI-0002,2010-04-11,,,,,,,,,6.44929148356124,0.2547754354509379,2010,,101,,,,0,,озимая пшеница
AOI-0002,2010-04-12,,,,,,,,,7.316573715209984,0.0113981308800248,2010,,102,,,,0,,озимая пшеница
AOI-0002,2010-04-13,,,,,,,,,7.0983075459798215,4.10248339176178,2010,,103,,,,0,,озимая пшеница
AOI-0002,2010-04-14,,,,,,,,,8.16817181905111,3.3946907281006133,2010,,104,,,,0,,озимая пшеница
AOI-0002,2010-04-15,,,,0.2216393828901306,0.0756601918509356,-0.2704749934048285,,,9.329796727498376,0.439634919018772,2010,0.2216393828901306,105,0.5109453556669745,0.2069608559175731,-1.3978777363196957,15,Угнетение биомассы,озимая пшеница
AOI-0002,2010-04-16,,,,,,,,,11.867773310343466,0.4493325947692028,2010,,106,,,,0,,озимая пшеница
AOI-0002,2010-04-17,,,,,,,,,13.398469543457054,5.323204398052894,2010,,107,,,,0,,озимая пшеница
AOI-0002,2010-04-18,,,,,,,,,10.40053774515792,0.5779296158721081,2010,,108,,,,0,,озимая пшеница
AOI-0002,2010-04-19,,,,,,,,,11.181874211629236,0.0008523463179699,2010,,109,,,,0,,озимая пшеница
AOI-0002,2010-04-20,,,,,,,,,13.970901743571003,0.0004351138045421,2010,,110,,,,0,,озимая пшеница
AOI-0002,2010-04-21,,,,,,,,,13.508735275268576,3.956013917559176,2010,,111,,,,0,,озимая пшеница
AOI-0002,2010-04-22,,,,,,,,,13.14788398742678,3.545966744582074,2010,,112,,,,0,,озимая пшеница
AOI-0002,2010-04-23,,,,0.3045013279189899,0.1277949335036091,-0.3335250047042583,0.3880434844868735,0.1846950835322196,11.068494415283226,0.000852624680192,2010,0.3045013279189899,113,0.5364782499406198,0.2218168552798084,-1.0458038534943843,15,Угнетение биомассы,озимая пшеница
AOI-0002,2010-04-24,,,,0.2830727580386597,0.1323158911889574,-0.3662262220264508,,,11.24624595642092,0.0042945493987645,2010,0.2830727580386597,114,0.5466612345822001,0.2215916688165696,-1.1895234056012052,15,Угнетение биомассы,озимая пшеница
AOI-0002,2010-04-25,,,,,,,,,12.46662546793624,0.0144800518455667,2010,,115,,,,0,,озимая пшеница
AOI-0002,2010-04-26,,,,,,,,,9.879843648274743,0.4480837407072613,2010,,116,,,,0,,озимая пшеница
AOI-0002,2010-04-27,,,,,,,,,8.010559972127282,0.0008523463179699,2010,,117,,,,0,,озимая пшеница
AOI-0002,2010-04-28,,,,,,,,,9.739977773030605,0.0,2010,,118,,,,0,,озимая пшеница
AOI-0002,2010-04-29,,,,,,,,,11.494301096598347,0.0,2010,,119,,,,0,,озимая пшеница
AOI-0002,2010-04-30,,,,,,,,,13.436801528930689,0.0008523463179699,2010,,120,,,,0,,озимая пшеница
AOI-0002,2010-05-01,,,,0.2195219556650456,0.0876929500960906,-0.3200879072971834,,,13.91262334187826,0.0017225742112714,2010,0.2195219556650456,121,0.620738374262039,0.1818041544914455,-2.2068605622313866,15,Критическая аномалия,озимая пшеница
AOI-0002,2010-05-02,,,,0.2066143310070609,0.0920492220163253,-0.2734935177254226,,,14.408462778727255,0.0,2010,0.2066143310070609,122,0.616407472161104,0.1925215060912877,-2.1285577360886214,15,Критическая аномалия,озимая пшеница
AOI-0002,2010-05-03,,,,,,,,,15.088759358723962,0.0115394590807227,2010,,123,,,,0,,озимая пшеница
AOI-0002,2010-05-04,,,,,,,,,16.853889719645224,-1.1920974429813214e-05,2010,,124,,,,0,,озимая пшеница
AOI-0002,2010-05-05,,,,,,,,,18.115916188557943,0.0,2010,,125,,,,0,,озимая пшеница
AOI-0002,2010-05-06,,,,,,,,,19.74117240905764,0.0,2010,,126,,,,0,,озимая пшеница
AOI-0002,2010-05-07,,,,,,,,,20.92107226053878,0.0325441360473632,2010,,127,,,,0,,озимая пшеница
AOI-0002,2010-05-08,,,,,,,,,20.71241722106936,1.2053814027126464,2010,,128,,,,0,,озимая пшеница
AOI-0002,2010-05-09,,,,,,,0.4627914558472554,0.2371326968973748,18.53626085917159,2.260655164718628,2010,0.4627914558472554,129,0.6589178641406332,0.1877501086838988,-1.0446140866079687,15,Угнетение биомассы,озимая пшеница
AOI-0002,2010-05-10,,,,,,,,,20.563925679524743,0.9602010250091552,2010,,130,,,,0,,озимая пшеница
AOI-0002,2010-05-11,,,,,,,,,16.20168266296389,4.482454061417229,2010,,131,,,,0,,озимая пшеница
AOI-0002,2010-05-12,,,,,,,,,16.97211290995284,0.46539306640625,2010,,132,,,,0,,озимая пшеница
AOI-0002,2010-05-13,,,,,,,,,17.553069051106775,0.3828346729264353,2010,,133,,,,0,,озимая пшеница
AOI-0002,2010-05-14,,,,,,,,,19.906879043579124,0.0194907188415527,2010,,134,,,,0,,озимая пшеница
AOI-0002,2010-05-15,,,,,,,,,19.140866216023767,4.80179488658905,2010,,135,,,,0,,озимая пшеница
AOI-0002,2010-05-16,,,,,,,,,20.95145950317385,0.7298529148052069,2010,,136,,,,0,,озимая пшеница
AOI-0002,2010-05-17,,,,,,,,,20.420916493733728,19.279944896652523,2010,,137,,,,0,,озимая пшеница
AOI-0002,2010-05-18,,,,,,,,,17.885919825236044,0.0064671039012864,2010,,138,,,,0,,озимая пшеница
AOI-0002,2010-05-19,,,,,,,,,17.64106712341311,6.834954902615209,2010,,139,,,,0,,озимая пшеница
AOI-0002,2010-05-20,,,,,,,,,15.606835937500025,7.060968875880036,2010,,140,,,,0,,озимая пшеница
